"MEASURE - Percentage of Gross Domestic Product"
"FLOW - Sum of imports and exports"
"SERIES - Total trade in goods and services"

YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"          Côte d'Ivoire",75.88316947040001,73.08180666680001,76.0011382718,74.82216737580001,77.57077082870001,76.43548343080001,72.197940375,66.4279878574,62.0136961323,57.773644351,58.4188246785,56.3233511286,58.384263059,56.4597042346,72.42523773729999,73.3266777544,74.7542575945,78.20830027060001,76.1926151584,75.4142114916,74.8865632918,73.3770957687,79.8612709865,74.8875252056,84.60657493950001,93.0901763479,97.9604716394,92.35328968260001,90.81753287630001,95.6522611282,102.0202147471,96.2489324861,92.86993035099999,"-"
"          Croatia","_","_","_","_","_","_","_","_","_","_","_","_","-",93.4460998581,82.7382542176,72.972545658,76.50469605870001,82.2344837022,75.60224227250001,77.62549140900001,84.7507415426,88.75655740880001,88.9931112913,93.7676412987,91.980802747,90.7445041937,91.4732530245,91.6626719855,91.62283112190001,75.8944368292,79.9114079924,84.7151608107,86.01505689219999,84.3955253111
"          Cuba","-","-","-","-","-","-","-","-","-","-",48.7236421598,33.9873326469,23.809806037,19.2602982737,18.952960006,22.0530031212,32.6250234837,32.7538220151,32.5042934964,31.868162861,31.076191224,29.3615248412,24.7293869677,26.5869114104,31.311579256,42.5106814057,40.1629741705,41.0052983184,48.5106781874,35.5466786386,42.9965386886,45.9724355379,47.2384586681,"-"
"          Curaçao","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",131.2509831076,137.2209022266,"-"
"          Cyprus",105.6668623216,111.249393242,112.7186614333,112.0493916663,118.9802086825,105.3512295131,92.053305571,95.69007570220001,99.52757144749999,108.8027326637,106.1681106467,102.1454884714,107.6381263193,93.03724925420001,93.53070892709999,100.7001913272,104.4844813786,105.2461352256,102.011966159,101.098186983,110.7584477419,109.3787688963,103.2413952555,95.7014657842,97.5971999105,98.06608622820001,96.6522717128,100.7139829677,101.4781214997,85.97783509999999,88.7910117288,90.10544094780001,88.9377666609,86.5835386686
"          Czech Republic","_","_","_","_","_","_","_","_","_","_","_","_","_",95.27709152280001,93.9434273345,100.6899628374,98.69314322539999,104.4913120791,105.475481859,108.2282308771,125.0237225346,127.8687581188,117.416290413,120.4170786385,134.5504892542,125.9074691238,130.9963747949,133.9119565627,126.7315823002,115.1205891606,132.5155656544,143.5537219079,152.3363542897,152.717253332
"          Czechoslovakia","-","-","-","-","-","-","-","-","-","-","-","-","-","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"          Dem. Rep. of the Congo",47.8939390812,44.9591268284,40.965090009,50.0337987107,92.30789266950001,80.5484489565,71.9396976566,96.6699396019,97.80141955720001,59.7490024638,54.0250947664,43.6538250247,34.0306448032,21.6497771785,42.6156228704,56.9743800763,60.5006820478,38.1891510107,42.2346201512,32.1210028328,33.5390742696,37.8295801651,48.2844019842,60.6390541844,78.3745501471,91.33730929959999,79.2649144832,134.0974565148,140.5154934371,104.4614944566,148.3790276891,137.147648205,103.4189533179,"-"
"          Denmark",63.878648666,72.4078590781,71.45361245140001,70.6555614441,72.297283987,74.0009944342,64.9588355667,61.2341707807,62.9172952517,66.5459809095,66.4881620055,68.40205803870001,65.7601271012,63.4355238936,66.2578923311,67.0568890998,67.0632037268,69.6050276094,70.64799630970001,75.7000129198,86.6133518008,87.5311964675,88.186526591,83.854801401,85.6185578245,92.4814652079,100.4012538136,101.552768902,105.5023866241,90.48993317919999,94.0156516564,101.0614996054,103.7080896584,103.6979723926
"          Djibouti","-","-","-","-","-","-","-","-","-","-","-",106.0053716153,102.4046587957,104.5750826613,94.27980665379999,88.2512361144,88.462188617,91.24813614839999,97.01466877679999,85.671807743,84.7209021944,82.3369810217,81.6230402697,88.9535593239,88.45852631930001,91.58094834249999,95.18242069999999,104.670619977,108.8353726985,93.18279412130001,80.97594590830001,88.39125897130001,84.9151999576,"-"
"          Dominica",99.5648800359,95.299002657,94.89187160660001,89.6218376316,90.79487768769999,86.8178546055,93.6544593342,95.64793351500001,101.4738838035,102.2410832142,111.65137266,103.7138063495,97.06363258250001,89.5145354496,86.2570645054,95.2456097316,101.2596452435,105.7387717596,104.3105513961,105.3398179885,100.9749757406,86.7264211127,85.45208536280001,80.9178341249,83.00516769790001,90.0121681416,88.5426155904,91.73719819580001,97.95541355020001,84.9190274793,90.8200696832,90.36024217959999,87.9970542961,90.8458394922
